id,console-name,product-name,loose-price,cib-price,new-price,graded-price,box-only-price,manual-only-price,bgs-10-price,condition-17-price,condition-18-price,gamestop-price,gamestop-trade-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,retail-new-buy,retail-new-sell,upc,sales-volume,genre,tcg-id,asin,epid,release-date
10820633,Basketball Cards 2025 Topps,Cam Thomas [Orange Crackleboard] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820623,Basketball Cards 2025 Topps,Cam Thomas [Orange Diamante] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820612,Basketball Cards 2025 Topps,Cam Thomas [Orange Rainbow] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820621,Basketball Cards 2025 Topps,Cam Thomas [Pink Diamante] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820636,Basketball Cards 2025 Topps,Cam Thomas [Platinum Crackleboard] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820601,Basketball Cards 2025 Topps,Cam Thomas [Purple Rainbow] #11,$0.99,,$5.90,$11.57,$22.98,$34.58,$45.00,$28.00,$21.00,,,,$1.09,,,$1.30,$6.49,,16,,,,,2025-10-23
10820594,Basketball Cards 2025 Topps,Cam Thomas [Rainbow Foilboard] #11,$1.49,,$7.95,$15.16,$29.79,$45.05,$59.00,$36.00,$27.00,,,,$1.59,,,$1.80,$8.79,,1,,,,,2025-10-23
10820637,Basketball Cards 2025 Topps,Cam Thomas [Red Crackleboard] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820625,Basketball Cards 2025 Topps,Cam Thomas [Red Diamante] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820617,Basketball Cards 2025 Topps,Cam Thomas [Red Rainbow] #11,,,,,,,,,,,,,,,,,,,0,,,,,2025-10-23
10820602,Basketball Cards 2025 Topps,Cam Thomas [Sandglitter] #11,$0.25,,,,,,,,,,,,$0.99,,,,,,0,,,,,2025-10-23
