category,url,console_uid,slug,page_name,csv_url
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-spectra,G43313,basketball-cards-2020-panini-spectra,2020 Panini Spectra Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G43313
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-stickers,G49439,basketball-cards-2020-panini-stickers,2020 Panini Stickers Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G49439
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-black,G56427,basketball-cards-2021-panini-black,2021 Panini Black Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56427
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-black-white-night,G56431,basketball-cards-2021-panini-black-white-night,2021 Panini Black White Night Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56431
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles,G56824,basketball-cards-2021-panini-chronicles,2021 Panini Chronicles Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56824
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-airborne-signatures,G56826,basketball-cards-2021-panini-chronicles-airborne-signatures,2021 Panini Chronicles Airborne Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56826
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-apprentice-signatures,G56827,basketball-cards-2021-panini-chronicles-apprentice-signatures,2021 Panini Chronicles Apprentice Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56827
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks,G47107,basketball-cards-2021-panini-chronicles-draft-picks,2021 Panini Chronicles Draft Picks Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47107
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks-absolute-tools-of-the-trade,G47108,basketball-cards-2021-panini-chronicles-draft-picks-absolute-tools-of-the-trade,2021 Panini Chronicles Draft Picks Absolute Tools Of The Trade Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47108
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks-contenders-optic-college-tickets,G47121,basketball-cards-2021-panini-chronicles-draft-picks-contenders-optic-college-tickets,2021 Panini Chronicles Draft Picks Contenders Optic College Tickets Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47121
