category,url,console_uid,slug,page_name,csv_url
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-hipnotized,G25547,basketball-cards-2020-panini-hoops-hipnotized,2020 Panini Hoops HIPnotized Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25547
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-high-voltage,G25545,basketball-cards-2020-panini-hoops-high-voltage,2020 Panini Hoops High Voltage Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25545
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-hot-signatures,G25551,basketball-cards-2020-panini-hoops-hot-signatures,2020 Panini Hoops Hot Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25551
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-jersey-swap,G25552,basketball-cards-2020-panini-hoops-jersey-swap,2020 Panini Hoops Jersey Swap Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25552
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-legends-of-the-game,G25554,basketball-cards-2020-panini-hoops-legends-of-the-game,2020 Panini Hoops Legends Of The Game Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25554
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-lights-camera-action,G25555,basketball-cards-2020-panini-hoops-lights-camera-action,2020 Panini Hoops Lights Camera Action Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25555
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-now-playing,G25557,basketball-cards-2020-panini-hoops-now-playing,2020 Panini Hoops Now Playing Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25557
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-rise-n-shine,G25560,basketball-cards-2020-panini-hoops-rise-n-shine,2020 Panini Hoops Rise N Shine Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25560
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-rookie-ink,G25561,basketball-cards-2020-panini-hoops-rookie-ink,2020 Panini Hoops Rookie Ink Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25561
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-slam,G25565,basketball-cards-2020-panini-hoops-slam,2020 Panini Hoops SLAM Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25565
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-vanity-plates,G25567,basketball-cards-2020-panini-hoops-vanity-plates,2020 Panini Hoops Vanity Plates Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25567
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-we-got-next,G25568,basketball-cards-2020-panini-hoops-we-got-next,2020 Panini Hoops We Got Next Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25568
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-hoops-zero-gravity,G25569,basketball-cards-2020-panini-hoops-zero-gravity,2020 Panini Hoops Zero Gravity Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G25569
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions,G47979,basketball-cards-2020-panini-illusions,2020 Panini Illusions Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47979
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-amazing,G47980,basketball-cards-2020-panini-illusions-amazing,2020 Panini Illusions Amazing Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47980
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-career-lineage,G47981,basketball-cards-2020-panini-illusions-career-lineage,2020 Panini Illusions Career Lineage Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47981
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-clear-shots,G47982,basketball-cards-2020-panini-illusions-clear-shots,2020 Panini Illusions Clear Shots Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47982
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-first-impressions-jersey-autograph,G89501,basketball-cards-2020-panini-illusions-first-impressions-jersey-autograph,2020 Panini Illusions First Impressions Jersey Autograph Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G89501
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-instant-impact,G47986,basketball-cards-2020-panini-illusions-instant-impact,2020 Panini Illusions Instant Impact Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47986
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-living-legends,G47987,basketball-cards-2020-panini-illusions-living-legends,2020 Panini Illusions Living Legends Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47987
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-mystique,G47988,basketball-cards-2020-panini-illusions-mystique,2020 Panini Illusions Mystique Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47988
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-rookie-reflections,G47989,basketball-cards-2020-panini-illusions-rookie-reflections,2020 Panini Illusions Rookie Reflections Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47989
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-rookie-retro-signatures,G72525,basketball-cards-2020-panini-illusions-rookie-retro-signatures,2020 Panini Illusions Rookie Retro Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G72525
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-rookie-signs,G58706,basketball-cards-2020-panini-illusions-rookie-signs,2020 Panini Illusions Rookie Signs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G58706
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-shining-stars,G47991,basketball-cards-2020-panini-illusions-shining-stars,2020 Panini Illusions Shining Stars Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47991
Basketball,https://www.sportscardspro.com/console/basketball-cards-2020-panini-illusions-trophy-collection-signatures,G50838,basketball-cards-2020-panini-illusions-trophy-collection-signatures,2020 Panini Illusions Trophy Collection Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G50838
